crim;zn;indus;chas;nox;rm;age;dis;rad;tax;ptratio;b;lstat;medv
736711;0;181;0;679;6193;781;19356;24;666;202;9673;2152;11
933889;0;181;0;679;638;956;19682;24;666;202;6072;2408;95
849213;0;181;0;584;6348;861;20527;24;666;202;8345;1764;145
100623;0;181;0;584;6833;943;20882;24;666;202;8133;1969;141
644405;0;181;0;584;6425;748;22004;24;666;202;9795;1203;161
558107;0;181;0;713;6436;879;23158;24;666;202;10019;1622;143
139134;0;181;0;713;6208;95;22222;24;666;202;10063;1517;117
111604;0;181;0;74;6629;946;21247;24;666;202;10985;2327;134
144208;0;181;0;74;6461;933;20026;24;666;202;2749;1805;96
151772;0;181;0;74;6152;100;19142;24;666;202;932;2645;87
136781;0;181;0;74;5935;879;18206;24;666;202;6895;3402;84
939063;0;181;0;74;5627;939;18172;24;666;202;3969;2288;128
220511;0;181;0;74;5818;924;18662;24;666;202;39145;2211;105
972418;0;181;0;74;6406;972;20651;24;666;202;38596;1952;171
566637;0;181;0;74;6219;100;20048;24;666;202;39569;1659;184
996654;0;181;0;74;6485;100;19784;24;666;202;38673;1885;154
128023;0;181;0;74;5854;966;18956;24;666;202;24052;2379;108
106718;0;181;0;74;6459;948;19879;24;666;202;4306;2398;118
628807;0;181;0;74;6341;964;2072;24;666;202;31801;1779;149
992485;0;181;0;74;6251;966;2198;24;666;202;38852;1644;126
932909;0;181;0;713;6185;987;22616;24;666;202;3969;1813;141
752601;0;181;0;713;6417;983;2185;24;666;202;30421;1931;13
671772;0;181;0;713;6749;926;23236;24;666;202;32;1744;134
544114;0;181;0;713;6655;982;23552;24;666;202;35529;1773;152
509017;0;181;0;713;6297;918;23682;24;666;202;38509;1727;161
824809;0;181;0;713;7393;993;24527;24;666;202;37587;1674;178
951363;0;181;0;713;6728;941;24961;24;666;202;668;1871;149
475237;0;181;0;713;6525;865;24358;24;666;202;5092;1813;141
466883;0;181;0;713;5976;879;25806;24;666;202;1048;1901;127
820058;0;181;0;713;5936;803;27792;24;666;202;35;1694;135
775223;0;181;0;713;6301;837;27831;24;666;202;27221;1623;149
680117;0;181;0;713;6081;844;27175;24;666;202;3969;147;20
481213;0;181;0;713;6701;90;25975;24;666;202;25523;1642;164
369311;0;181;0;713;6376;884;25671;24;666;202;39143;1465;177
665492;0;181;0;713;6317;83;27344;24;666;202;3969;1399;195
582115;0;181;0;713;6513;899;28016;24;666;202;39382;1029;202
783932;0;181;0;655;6209;654;29634;24;666;202;3969;1322;214
31636;0;181;0;655;5759;482;30665;24;666;202;3344;1413;199
377498;0;181;0;655;5952;847;28715;24;666;202;2201;1715;19
442228;0;181;0;584;6003;945;25403;24;666;202;33129;2132;191
155757;0;181;0;58;5926;71;29084;24;666;202;36874;1813;191
130751;0;181;0;58;5713;567;28237;24;666;202;3969;1476;201
434879;0;181;0;58;6167;84;30334;24;666;202;3969;1629;199
403841;0;181;0;532;6229;907;30993;24;666;202;39533;1287;196
356868;0;181;0;58;6437;75;28965;24;666;202;39337;1436;232
464689;0;181;0;614;698;676;25329;24;666;202;37468;1166;298
805579;0;181;0;584;5427;954;24298;24;666;202;35258;1814;138
639312;0;181;0;584;6162;974;2206;24;666;202;30276;241;133
487141;0;181;0;614;6484;936;23053;24;666;202;39621;1868;167
150234;0;181;0;614;5304;973;21007;24;666;202;34948;2491;12
10233;0;181;0;614;6185;967;21705;24;666;202;3797;1803;146
143337;0;181;0;614;6229;88;19512;24;666;202;38332;1311;214
582401;0;181;0;532;6242;647;34242;24;666;202;3969;1074;23
570818;0;181;0;532;675;749;33317;24;666;202;39307;774;237
573116;0;181;0;532;7061;77;34106;24;666;202;39528;701;25
281838;0;181;0;532;5762;403;40983;24;666;202;39292;1042;218
237857;0;181;0;583;5871;419;3724;24;666;202;37073;1334;206
367367;0;181;0;583;6312;519;39917;24;666;202;38862;1058;212
569175;0;181;0;583;6114;798;35459;24;666;202;39268;1498;191
483567;0;181;0;583;5905;532;31523;24;666;202;38822;1145;206
15086;0;2774;0;609;5454;927;18209;4;711;201;39509;1806;152
18337;0;2774;0;609;5414;983;17554;4;711;201;34405;2397;7
20746;0;2774;0;609;5093;98;18226;4;711;201;31843;2968;81
10574;0;2774;0;609;5983;988;18681;4;711;201;39011;1807;136
11132;0;2774;0;609;5983;835;21099;4;711;201;3969;1335;201
17331;0;969;0;585;5707;54;23817;6;391;192;3969;1201;218
27957;0;969;0;585;5926;426;23817;6;391;192;3969;1359;245
17899;0;969;0;585;567;288;27986;6;391;192;39329;176;231
2896;0;969;0;585;539;729;27986;6;391;192;3969;2114;197
26838;0;969;0;585;5794;706;28927;6;391;192;3969;141;183
23912;0;969;0;585;6019;653;24091;6;391;192;3969;1292;212
17783;0;969;0;585;5569;735;23999;6;391;192;39577;151;175
22438;0;969;0;585;6027;797;24982;6;391;192;3969;1433;168
6263;0;1193;0;573;6593;691;24786;1;273;21;39199;967;224
4527;0;1193;0;573;612;767;22875;1;273;21;3969;908;206
6076;0;1193;0;573;6976;91;21675;1;273;21;3969;564;239
10959;0;1193;0;573;6794;893;23889;1;273;21;39345;648;22
4741;0;1193;0;573;603;808;2505;1;273;21;3969;788;119
